item_encoded,total_observations,historical_shortage_prob,avg_shortage_qty,max_shortage_qty,total_shortage_qty,shortage_qty_7d_avg,shortage_qty_30d_avg,shortage_freq_7d,shortage_freq_30d,is_shortage
54,744,0.006720430107526882,0.07123655913978495,21.0,53.0,0.0,0.0,0.0,0.0,0
55,744,0.005376344086021506,0.005376344086021506,1.0,4.0,0.0,0.0,0.0,0.0,0
56,744,0.10349462365591398,1.1438172043010753,44.0,851.0,4.285714285714286,17.233333333333334,0.7142857142857143,0.7,0
57,744,0.0013440860215053765,0.0013440860215053765,1.0,1.0,0.0,0.0,0.0,0.0,0
58,744,0.002688172043010753,0.3817204301075269,142.0,284.0,0.0,0.0,0.0,0.0,0
59,744,0.06989247311827956,1.5362903225806452,50.0,1143.0,0.0,0.0,0.0,0.0,0
60,744,0.008064516129032258,0.3481182795698925,59.0,259.0,0.0,0.0,0.0,0.0,0
61,744,0.03763440860215054,8.366935483870968,411.0,6225.0,0.0,0.0,0.0,0.0,0
62,744,0.005376344086021506,0.05241935483870968,20.0,39.0,0.0,0.0,0.0,0.0,0
63,744,0.0013440860215053765,0.0013440860215053765,1.0,1.0,0.0,0.0,0.0,0.0,0
64,744,0.004032258064516129,0.010752688172043012,3.0,8.0,0.2857142857142857,0.06666666666666667,0.14285714285714285,0.03333333333333333,0
65,744,0.002688172043010753,0.2970430107526882,175.0,221.0,0.0,0.0,0.0,0.0,0
66,745,0.0026845637583892616,0.021476510067114093,15.0,16.0,0.0,0.0,0.0,0.0,0
67,744,0.010752688172043012,0.5524193548387096,105.0,411.0,0.0,0.0,0.0,0.0,0
68,744,0.07123655913978495,0.4986559139784946,7.0,371.0,0.0,0.0,0.0,0.0,0
69,744,0.033602150537634407,0.7970430107526881,45.0,593.0,0.0,0.0,0.0,0.0,0
70,744,0.0228494623655914,0.3010752688172043,16.0,224.0,0.0,0.0,0.0,0.0,0
71,744,0.008064516129032258,0.016129032258064516,2.0,12.0,0.0,0.0,0.0,0.0,0
72,744,0.0013440860215053765,0.013440860215053764,10.0,10.0,0.0,0.0,0.0,0.0,0
73,744,0.010752688172043012,0.010752688172043012,1.0,8.0,0.0,0.0,0.0,0.0,0
74,744,0.012096774193548387,0.4986559139784946,63.0,371.0,26.142857142857142,11.966666666666667,0.42857142857142855,0.26666666666666666,0
75,744,0.025537634408602152,0.6720430107526881,211.0,500.0,0.0,0.0,0.0,0.0,0
76,744,0.06451612903225806,0.07258064516129033,2.0,54.0,0.0,0.0,0.0,0.0,0
77,744,0.005376344086021506,1.6021505376344085,298.0,1192.0,0.0,0.0,0.0,0.0,0
78,744,0.056451612903225805,0.8655913978494624,46.0,644.0,0.0,1.3333333333333333,0.0,0.03333333333333333,0
79,744,0.012096774193548387,0.020161290322580645,2.0,15.0,0.0,0.0,0.0,0.0,0
80,744,0.01478494623655914,6.53494623655914,1269.0,4862.0,0.0,0.0,0.0,0.0,0
81,744,0.005376344086021506,0.05241935483870968,12.0,39.0,0.0,0.0,0.0,0.0,0
82,744,0.006720430107526882,0.09408602150537634,14.0,70.0,0.0,0.0,0.0,0.0,0
83,744,0.002688172043010753,0.7997311827956989,325.0,595.0,0.0,0.0,0.0,0.0,0
84,744,0.002688172043010753,0.021505376344086023,8.0,16.0,0.0,0.0,0.0,0.0,0
85,744,0.010752688172043012,0.021505376344086023,2.0,16.0,0.0,0.0,0.0,0.0,0
86,744,0.002688172043010753,0.4529569892473118,298.0,337.0,0.0,0.0,0.0,0.0,0
87,744,0.01478494623655914,0.22311827956989247,28.0,166.0,0.0,0.0,0.0,0.0,0
88,744,0.01747311827956989,2.7298387096774195,297.0,2031.0,0.0,0.0,0.0,0.0,0
89,744,0.04973118279569892,4.247311827956989,271.0,3160.0,0.0,0.0,0.0,0.0,0
90,744,0.04032258064516129,4.908602150537634,774.0,3652.0,0.0,0.0,0.0,0.0,0
91,744,0.009408602150537635,0.08870967741935484,10.0,66.0,0.0,0.0,0.0,0.0,0
92,744,0.0013440860215053765,0.0967741935483871,72.0,72.0,0.0,0.0,0.0,0.0,0
93,744,0.05779569892473118,0.13172043010752688,5.0,98.0,0.0,0.0,0.0,0.0,0
94,744,0.006720430107526882,0.7405913978494624,247.0,551.0,0.0,0.0,0.0,0.0,0
